,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.2248231851340606,0.2245585651914315,0.22504544758091982,9.575679964038328e-05
1,jaccard(top_bow),0.22503178707101426,0.22474892626977647,0.22531552612076944,0.00011779293729925132
2,jaccard(top_tfidf),0.22484227015590721,0.22459184297563672,0.2251312246092877,0.00012007615249496078
3,jaccard(w2v_sif),0.22500313899947608,0.22477311651527393,0.22546943178988968,0.00013765678955246648
4,jaccard(w2v_weighted),0.2250065962849701,0.22474256991904082,0.2253405106211717,0.0001144866422372113
5,sas(bert),-0.0005612594113620804,-0.012799452429842574,0.012867898699520874,0.004458999993128633
6,sas(top_bow),0.033863791923340186,0.015947980835044492,0.05496235455167694,0.0073391380097572465
7,sas(top_tfidf),0.011266255989048601,-0.0015058179329226554,0.026214921286789872,0.005443170744117444
8,sas(w2v_sif),0.060763175906913096,0.03442847364818618,0.08370978781656399,0.009894489878477204
9,sas(w2v_weighted),0.049479808350444895,0.030321697467488022,0.08473648186173854,0.008918596932047267
